crop,year,season,state,area,production,fertilizer,pesticide,yield
Horse-gram,1997,Rabi       ,Karnataka,163173,82572,15529174.41,50583.63,0.514705882
Jowar,1997,Kharif     ,Karnataka,389690,516093,37086797.3,120803.9,1.228
Jowar,1997,Rabi       ,Karnataka,1501172,722773,142866539.2,465363.32,0.510714286
Jowar,1997,Summer     ,Karnataka,6137,15135,584058.29,1902.47,2.470909091
Maize,1997,Kharif     ,Karnataka,502797,1391132,47851190.49,155867.07,2.687777778
Maize,1997,Rabi       ,Karnataka,48844,98932,4648483.48,15141.64,1.98
Maize,1997,Summer     ,Karnataka,9730,20893,926004.1,3016.3,2.165714286
Ragi,1997,Kharif     ,Karnataka,897921,1214282,85455141.57,278355.51,1.191333333
Ragi,1997,Rabi       ,Karnataka,27104,33696,2579487.68,8402.24,1.312222222
Ragi,1997,Summer     ,Karnataka,13521,25035,1286793.57,4191.51,1.847777778
Rice,1997,Kharif     ,Karnataka,1031530,2340493,98170710.1,319774.3,2.2335
Rice,1997,Rabi       ,Karnataka,53889,109350,5128616.13,16705.59,2.073846154
Rice,1997,Summer     ,Karnataka,268044,762759,25509747.48,83093.64,2.829444444
Sugarcane,1997,Whole Year ,Karnataka,308857,28999269,29393920.69,95745.67,91.74736842
Turmeric,1997,Whole Year ,Karnataka,4342,24108,413228.14,1346.02,4.452941176
Wheat,1997,Rabi       ,Karnataka,250698,118512,23858928.66,77716.38,0.548333333
Arecanut,1997,Whole Year ,Kerala,76145,93995,7246719.65,23604.95,1.147857143
Black pepper,1997,Whole Year ,Kerala,173855,55520,16545780.35,53895.05,0.240714286
Cashewnut,1997,Whole Year ,Kerala,96073,74142,9143267.41,29782.63,0.589285714
Coconut ,1997,Whole Year ,Kerala,884344,5210000000,84163018.48,274146.64,5376.054286
Tapioca,1997,Whole Year ,Kerala,132875,2841819,12645713.75,41191.25,22.80357143
Arecanut,1997,Whole Year ,Meghalaya,9569,12116,910681.73,2966.39,1.245714286
Arhar/Tur,1997,Kharif     ,Meghalaya,865,683,82322.05,268.15,0.806666667
Banana,1997,Whole Year ,Meghalaya,5239,63011,498595.63,1624.09,11.20714286
Castor seed,1997,Rabi       ,Meghalaya,30,15,2855.1,9.3,0.49
Cotton(lint),1997,Kharif     ,Meghalaya,7544,5590,717962.48,2338.64,0.796666667
Dry chillies,1997,Whole Year ,Meghalaya,1766,1106,168070.22,547.46,0.64
Ginger,1997,Kharif     ,Meghalaya,7357,45260,700165.69,2280.67,6.054285714
Gram,1997,Rabi       ,Meghalaya,443,270,42160.31,137.33,0.613333333
Jute,1997,Kharif     ,Meghalaya,4243,34683,403806.31,1315.33,8.436666667
Linseed,1997,Kharif     ,Meghalaya,50,22,4758.5,15.5,0.44
Maize,1997,Kharif     ,Meghalaya,17175,24878,1634544.75,5324.25,1.444285714
Mesta,1997,Kharif     ,Meghalaya,4688,21558,446156.96,1453.28,4.68
Mesta,1997,Whole Year ,Meghalaya,861,713,81941.37,266.91,0.7525
Other  Rabi pulses,1997,Rabi       ,Meghalaya,1909,1511,181679.53,591.79,0.777142857
Potato,1997,Whole Year ,Meghalaya,20764,200509,1976109.88,6436.84,8.641428571
Rapeseed &Mustard,1997,Rabi       ,Meghalaya,6914,4467,658005.38,2143.34,0.608571429
Rice,1997,Kharif     ,Meghalaya,105170,150101,10009028.9,32602.7,1.378571429
Sesamum,1997,Kharif     ,Meghalaya,1326,688,126195.42,411.06,0.575714286
Small millets,1997,Kharif     ,Meghalaya,2804,2237,266856.68,869.24,0.861428571
Soyabean,1997,Kharif     ,Meghalaya,898,814,85462.66,278.38,0.921428571
Sugarcane,1997,Whole Year ,Meghalaya,82,225,7803.94,25.42,2.352
Sweet potato,1997,Whole Year ,Meghalaya,5212,16978,496026.04,1615.72,3.221428571
Tapioca,1997,Whole Year ,Meghalaya,3959,21087,376778.03,1227.29,6.537142857
Tobacco,1997,Rabi       ,Meghalaya,742,505,70616.14,230.02,0.618
Turmeric,1997,Whole Year ,Meghalaya,1401,7126,133333.17,434.31,5.425714286
Wheat,1997,Rabi       ,Meghalaya,4287,6894,407993.79,1328.97,1.385
Arecanut,1997,Whole Year ,West Bengal,8058,12423,766879.86,2497.98,1.691764706
Arhar/Tur,1997,Whole Year ,West Bengal,3630,2181,345467.1,1125.3,0.777692308
Bajra,1997,Kharif     ,West Bengal,207,95,19700.19,64.17,0.426666667
Barley,1997,Whole Year ,West Bengal,6116,5034,582059.72,1895.96,1.68
Cardamom,1997,Whole Year ,West Bengal,2674,7,254484.58,828.94,0
Castor seed,1997,Whole Year ,West Bengal,660,46,62812.2,204.6,0.07
Coconut ,1997,Whole Year ,West Bengal,24273,306202300,2310061.41,7524.63,13003.78778
Cotton(lint),1997,Kharif     ,West Bengal,26000,52000,2474420,8060,2
Dry chillies,1997,Whole Year ,West Bengal,64034,55569,6094115.78,19850.54,0.942777778
Gram,1997,Rabi       ,West Bengal,25485,16994,2425407.45,7900.35,0.5975
Groundnut,1997,Whole Year ,West Bengal,29615,38672,2818459.55,9180.65,1.13
Horse-gram,1997,Kharif     ,West Bengal,5645,2556,537234.65,1749.95,0.438888889
Jowar,1997,Whole Year ,West Bengal,948,450,90221.16,293.88,0.482
Jute,1997,Kharif     ,West Bengal,641574,7549700,61058597.58,198887.94,13.44588235
Khesari,1997,Rabi       ,West Bengal,25261,28460,2404089.37,7830.91,1.095882353
Linseed,1997,Whole Year ,West Bengal,16486,4210,1568972.62,5110.66,0.251538462
Maize,1997,Whole Year ,West Bengal,35469,130390,3375584.73,10995.39,2.658461538
Masoor,1997,Rabi       ,West Bengal,51202,35040,4872894.34,15872.62,0.662352941
Mesta,1997,Kharif     ,West Bengal,9689,89000,922102.13,3003.59,9.154166667
Moong(Green Gram),1997,Kharif     ,West Bengal,1490,711,141803.3,461.9,0.548888889
Moong(Green Gram),1997,Rabi       ,West Bengal,3269,1710,311110.73,1013.39,0.542857143
Moong(Green Gram),1997,Summer     ,West Bengal,9959,303,947798.03,3087.29,0.046
Niger seed,1997,Rabi       ,West Bengal,50808100,38657300,4835406877,15750511,0.698888889
Niger seed,1997,Whole Year ,West Bengal,6512,3522,619747.04,2018.72,0.40375
Other Kharif pulses,1997,Kharif     ,West Bengal,1279,725,121722.43,396.49,0.585
Potato,1997,Whole Year ,West Bengal,284015,5581553,27029707.55,88044.65,18.23722222
Ragi,1997,Autumn     ,West Bengal,12607,15330,1199808.19,3908.17,0.986
Rapeseed &Mustard,1997,Whole Year ,West Bengal,327123,250950,31132295.91,101408.13,0.718333333
Rice,1997,Autumn     ,West Bengal,423121,751970,40268425.57,131167.51,1.837222222
Rice,1997,Summer     ,West Bengal,1206829,3569520,114853915.9,374116.99,2.843888889
Rice,1997,Winter     ,West Bengal,4270328,8915100,406407115.8,1323801.68,1.985555556
Safflower,1997,Whole Year ,West Bengal,10800,3000,1027836,3348,0.2975
Sannhamp,1997,Whole Year ,West Bengal,2015,9073,191767.55,624.65,4.598571429
Sesamum,1997,Whole Year ,West Bengal,127913,88943,12173480.21,39653.03,0.649444444
Small millets,1997,Whole Year ,West Bengal,5046,3222,480227.82,1564.26,0.626666667
Soyabean,1997,Kharif     ,West Bengal,1555,1172,147989.35,482.05,1.196666667
Sugarcane,1997,Whole Year ,West Bengal,25797,1818700,2455100.49,7997.07,67.83625
Sunflower,1997,Whole Year ,West Bengal,278,1,26457.26,86.18,0
Turmeric,1997,Whole Year ,West Bengal,12481,23556,1187816.77,3869.11,1.661111111
Urad,1997,Kharif     ,West Bengal,69271,44480,6592521.07,21474.01,1.825
Urad,1997,Rabi       ,West Bengal,16694,10553,1588767.98,5175.14,0.628333333
Wheat,1997,Rabi       ,West Bengal,367374,810480,34962983.58,113885.94,1.886666667
Arecanut,1998,Kharif     ,Puducherry,66,23,6520.8,19.14,0.35
Bajra,1998,Kharif     ,Puducherry,149,324,14721.2,43.21,2.17
Black pepper,1998,Kharif     ,Puducherry,12,7,1185.6,3.48,0.58
Coriander,1998,Kharif     ,Puducherry,2,1,197.6,0.58,0.5
Cotton(lint),1998,Summer     ,Puducherry,453,372,44756.4,131.37,0.84
Dry chillies,1998,Kharif     ,Puducherry,8,23,790.4,2.32,2.75
Groundnut,1998,Rabi       ,Puducherry,1046,2062,103344.8,303.34,1.54
Onion,1998,Kharif     ,Puducherry,26,429,2568.8,7.54,16.5
Ragi,1998,Kharif     ,Puducherry,112,366,11065.6,32.48,3.27
Rice,1998,Kharif     ,Puducherry,4945,11518,488566,1434.05,2.46
Rice,1998,Rabi       ,Puducherry,13961,30220,1379346.8,4048.69,2.555
Rice,1998,Summer     ,Puducherry,5716,14863,564740.8,1657.64,2.55
Sesamum,1998,Kharif     ,Puducherry,147,120,14523.6,42.63,0.806666667
Small millets,1998,Kharif     ,Puducherry,4,3,395.2,1.16,0.75
Sugarcane,1998,Kharif     ,Puducherry,2710,232369,267748,785.9,82.595
Tapioca,1998,Kharif     ,Puducherry,649,19110,64121.2,188.21,20
Arecanut,1998,Whole Year ,Assam,74457,55355,7356351.6,21592.53,0.784347826
Arhar/Tur,1998,Kharif     ,Assam,7657,5389,756511.6,2220.53,0.709130435
Banana,1998,Whole Year ,Assam,41885,581884,4138238,12146.65,13.78826087
Castor seed,1998,Kharif     ,Assam,1728,708,170726.4,501.12,0.411428571
Coconut ,1998,Whole Year ,Assam,20166,149866000,1992400.8,5848.14,6045.886957
Cotton(lint),1998,Kharif     ,Assam,1652,751,163217.6,479.08,0.399130435
Dry chillies,1998,Whole Year ,Assam,14724,9690,1454731.2,4269.96,0.636956522
Gram,1998,Rabi       ,Assam,3002,1503,296597.6,870.58,0.460454545
Jute,1998,Kharif     ,Assam,78702,687173,7775757.6,22823.58,9.040869565
Linseed,1998,Rabi       ,Assam,10222,5212,1009933.6,2964.38,0.480909091
Maize,1998,Kharif     ,Assam,19810,13965,1957228,5744.9,0.608695652
Mesta,1998,Kharif     ,Assam,5260,25623,519688,1525.4,4.9105
Niger seed,1998,Kharif     ,Assam,8753,4478,864796.4,2538.37,0.520555556
Onion,1998,Whole Year ,Assam,8083,18341,798600.4,2344.07,2.340434783
Other  Rabi pulses,1998,Rabi       ,Assam,116141,62330,11474730.8,33680.89,0.50826087
Potato,1998,Whole Year ,Assam,76958,611077,7603450.4,22317.82,7.230434783
Rapeseed &Mustard,1998,Rabi       ,Assam,288829,135631,28536305.2,83760.41,0.473478261
Rice,1998,Autumn     ,Assam,594979,520605,58783925.2,172543.91,1.055652174
Rice,1998,Summer     ,Assam,223913,446114,22122604.4,64934.77,1.685217391
Rice,1998,Winter     ,Assam,1635230,2288114,161560724,474216.7,1.395652174
Sesamum,1998,Kharif     ,Assam,15940,8210,1574872,4622.6,0.485217391
Small millets,1998,Kharif     ,Assam,10547,5450,1042043.6,3058.63,0.521363636
Sugarcane,1998,Whole Year ,Assam,30571,1223578,3020414.8,8865.59,39.89304348
Sweet potato,1998,Whole Year ,Assam,9433,32437,931980.4,2735.57,3.435652174
Tapioca,1998,Whole Year ,Assam,2798,13261,276442.4,811.42,4.445217391
Tobacco,1998,Whole Year ,Assam,1465,732,144742,424.85,0.569545455
Turmeric,1998,Whole Year ,Assam,10729,7416,1060025.2,3111.41,0.666956522
Wheat,1998,Rabi       ,Assam,89591,90509,8851590.8,25981.39,0.999545455
Arecanut,1998,Whole Year ,Goa,1500,1820,148200,435,1.21
Banana,1998,Whole Year ,Goa,1900,14400,187720,551,7.58
Black pepper,1998,Whole Year ,Goa,250,70,24700,72.5,0.28
Cashewnut,1998,Whole Year ,Goa,52875,15000,5224050,15333.75,0.28
Coconut ,1998,Whole Year ,Goa,24858,121000000,2455970.4,7208.82,4867.65
Groundnut,1998,Kharif     ,Goa,350,412,34580,101.5,1.18
Groundnut,1998,Rabi       ,Goa,1048,2124,103542.4,303.92,2.03
Other  Rabi pulses,1998,Rabi       ,Goa,8671,9220,856694.8,2514.59,1.06
Other Kharif pulses,1998,Kharif     ,Goa,1200,324,118560,348,0.27
Ragi,1998,Kharif     ,Goa,2500,2476,247000,725,0.99
Rice,1998,Kharif     ,Goa,41000,104249,4050800,11890,2.54
Rice,1998,Rabi       ,Goa,15439,46925,1525373.2,4477.31,3.04
Sugarcane,1998,Whole Year ,Goa,1320,64000,130416,382.8,48.48
Arecanut,1998,Whole Year ,Karnataka,98047,648365,9687043.6,28433.63,6.232
Arhar/Tur,1998,Kharif     ,Karnataka,475396,221453,46969124.8,137864.84,0.400833333
Bajra,1998,Kharif     ,Karnataka,415816,282231,41082620.8,120586.64,0.601764706
Bajra,1998,Rabi       ,Karnataka,451,536,44558.8,130.79,1.19
Bajra,1998,Summer     ,Karnataka,846,498,83584.8,245.34,0.59
Black pepper,1998,Whole Year ,Karnataka,4387,10342,433435.6,1272.23,2.238
Cardamom,1998,Whole Year ,Karnataka,20218,1153,1997538.4,5863.22,0.06
Castor seed,1998,Kharif     ,Karnataka,27246,23245,2691904.8,7901.34,0.831818182
Coconut ,1998,Whole Year ,Karnataka,310399,1611530000,30667421.2,90015.71,4692.261111
Coriander,1998,Whole Year ,Karnataka,17935,2982,1771978,5201.15,0.118
Cotton(lint),1998,Kharif     ,Karnataka,636495,976876,62885706,184583.55,1.556521739
Dry chillies,1998,Whole Year ,Karnataka,170319,146498,16827517.2,49392.51,1.123703704
Garlic,1998,Whole Year ,Karnataka,3574,3034,353111.2,1036.46,1.459411765
Ginger,1998,Kharif     ,Karnataka,3896,51169,384924.8,1129.84,12.75944444
Gram,1998,Rabi       ,Karnataka,355326,202508,35106208.8,103044.54,0.573478261
Groundnut,1998,Kharif     ,Karnataka,1012577,929016,100042607.6,293647.33,0.8568
Groundnut,1998,Rabi       ,Karnataka,217445,263118,21483566,63059.05,1.3052
Horse-gram,1998,Kharif     ,Karnataka,189486,90718,18721216.8,54950.94,0.504615385
Horse-gram,1998,Rabi       ,Karnataka,134779,62084,13316165.2,39085.91,0.4492
Jowar,1998,Kharif     ,Karnataka,420808,616645,41575830.4,122034.32,1.305714286
Jowar,1998,Rabi       ,Karnataka,1420162,1003450,140312005.6,411846.98,0.7235
Jowar,1998,Summer     ,Karnataka,8897,23144,879023.6,2580.13,2.461333333
Linseed,1998,Rabi       ,Karnataka,19806,6441,1956832.8,5743.74,0.315
Maize,1998,Kharif     ,Karnataka,450472,1542607,44506633.6,130636.88,3.366
Maize,1998,Rabi       ,Karnataka,49922,101605,4932293.6,14477.38,1.97952381
Maize,1998,Summer     ,Karnataka,11974,27080,1183031.2,3472.46,2.241904762
Moong(Green Gram),1998,Kharif     ,Karnataka,311720,61227,30797936,90398.8,0.180769231
Moong(Green Gram),1998,Rabi       ,Karnataka,15627,7005,1543947.6,4531.83,0.438823529
Niger seed,1998,Kharif     ,Karnataka,41853,8104,4135076.4,12137.37,0.214782609
Onion,1998,Kharif     ,Karnataka,79921,362053,7896194.8,23177.09,5.363636364
Onion,1998,Rabi       ,Karnataka,8882,91057,877541.6,2575.78,8.936315789
Onion,1998,Summer     ,Karnataka,4797,55339,473943.6,1391.13,11.86631579
Peas & beans (Pulses),1998,Kharif     ,Karnataka,1730,15872,170924,501.7,9.265882353
Peas & beans (Pulses),1998,Rabi       ,Karnataka,494,4882,48807.2,143.26,8.948181818
Peas & beans (Pulses),1998,Summer     ,Karnataka,1583,13707,156400.4,459.07,7.827
Potato,1998,Kharif     ,Karnataka,28755,317052,2840994,8338.95,12.37333333
Potato,1998,Rabi       ,Karnataka,4173,82124,412292.4,1210.17,18.90714286
Potato,1998,Summer     ,Karnataka,1137,19387,112335.6,329.73,17.6
Potato,1998,Whole Year ,Karnataka,268,3910,26478.4,77.72,14.59
Ragi,1998,Kharif     ,Karnataka,986173,1664767,97433892.4,285990.17,1.418
Ragi,1998,Rabi       ,Karnataka,33833,45301,3342700.4,9811.57,1.361
Ragi,1998,Summer     ,Karnataka,10673,24008,1054492.4,3095.17,2.239230769
Rapeseed &Mustard,1998,Kharif     ,Karnataka,6673,1790,659292.4,1935.17,0.210625
Rice,1998,Kharif     ,Karnataka,1079193,2599170,106624268.4,312965.97,2.310740741
Rice,1998,Rabi       ,Karnataka,51782,106072,5116061.6,15016.78,2.054285714
Rice,1998,Summer     ,Karnataka,295830,951569,29228004,85790.7,2.99375
Safflower,1998,Rabi       ,Karnataka,97487,58727,9631715.6,28271.23,0.616428571
Sesamum,1998,Kharif     ,Karnataka,115250,46673,11386700,33422.5,0.417307692
Soyabean,1998,Kharif     ,Karnataka,65309,70294,6452529.2,18939.61,1.060588235
Sunflower,1998,Kharif     ,Karnataka,430676,127090,42550788.8,124896.04,0.382608696
Sunflower,1998,Rabi       ,Karnataka,359514,112736,35519983.2,104259.06,0.390416667
Sunflower,1998,Summer     ,Karnataka,43156,24211,4263812.8,12515.24,0.595217391
Turmeric,1998,Whole Year ,Karnataka,5007,25386,494691.6,1452.03,4.682380952
Wheat,1998,Rabi       ,Karnataka,268981,219433,26575322.8,78004.49,0.848823529
Arecanut,1998,Whole Year ,Kerala,73639,68479,7275533.2,21355.31,0.797857143
Banana,1998,Whole Year ,Kerala,30521,386588,3015474.8,8851.09,12.85714286
Black pepper,1998,Whole Year ,Kerala,182384,68510,18019539.2,52891.36,0.261428571
Cardamom,1998,Whole Year ,Kerala,41449,4990,4095161.2,12020.21,0.045555556
Cashewnut,1998,Whole Year ,Kerala,91268,51336,9017278.4,26467.72,0.484285714
Coconut ,1998,Whole Year ,Kerala,882288,5132000000,87170054.4,255863.52,5304.749286
Cotton(lint),1998,Kharif     ,Kerala,10999,17752,1086701.2,3189.71,1.61
Dry chillies,1998,Whole Year ,Kerala,297,288,29343.6,86.13,0.937777778
Garlic,1998,Whole Year ,Kerala,742,12614,73309.6,215.18,17
Ginger,1998,Whole Year ,Kerala,11107,39362,1097371.6,3221.03,2.93
Groundnut,1998,Kharif     ,Kerala,7021,5219,693674.8,2036.09,0.62
Jowar,1998,Kharif     ,Kerala,2177,1108,215087.6,631.33,0.505
Ragi,1998,Kharif     ,Kerala,1157,936,114311.6,335.53,0.81
Rice,1998,Autumn     ,Kerala,120217,235849,11877439.6,34862.93,1.856923077
Rice,1998,Summer     ,Kerala,57700,144872,5700760,16733,2.116153846
Rice,1998,Winter     ,Kerala,174714,346022,17261743.2,50667.06,1.937142857
Sesamum,1998,Kharif     ,Kerala,3303,1057,326336.4,957.87,0.467272727
Sugarcane,1998,Whole Year ,Kerala,6160,472160,608608,1786.4,64.83
Sweet potato,1998,Whole Year ,Kerala,1099,11924,108581.2,318.71,11.718
Tapioca,1998,Whole Year ,Kerala,112774,2630155,11142071.2,32704.46,25.51785714
Tobacco,1998,Whole Year ,Kerala,41,228,4050.8,11.89,5.56
Turmeric,1998,Whole Year ,Kerala,3706,8034,366152.8,1074.74,1.997857143
Arecanut,1998,Whole Year ,Meghalaya,9585,11567,946998,2779.65,1.151666667
Arhar/Tur,1998,Kharif     ,Meghalaya,861,678,85066.8,249.69,0.803333333
Banana,1998,Whole Year ,Meghalaya,5194,62888,513167.2,1506.26,11.26714286
Cotton(lint),1998,Kharif     ,Meghalaya,7549,5599,745841.2,2189.21,0.796666667
Dry chillies,1998,Whole Year ,Meghalaya,1764,1051,174283.2,511.56,0.598571429
Ginger,1998,Kharif     ,Meghalaya,7403,45590,731416.4,2146.87,6.008571429
Gram,1998,Rabi       ,Meghalaya,463,283,45744.4,134.27,0.61
Jute,1998,Kharif     ,Meghalaya,4241,27097,419010.8,1229.89,7.553333333
Linseed,1998,Kharif     ,Meghalaya,51,23,5038.8,14.79,0.45
Maize,1998,Kharif     ,Meghalaya,17219,25272,1701237.2,4993.51,1.457142857
Mesta,1998,Kharif     ,Meghalaya,4681,21362,462482.8,1357.49,4.58
Mesta,1998,Whole Year ,Meghalaya,871,631,86054.8,252.59,0.68
Other  Rabi pulses,1998,Rabi       ,Meghalaya,1938,1527,191474.4,562.02,0.755714286
Potato,1998,Whole Year ,Meghalaya,20753,201059,2050396.4,6018.37,7.738571429
Rapeseed &Mustard,1998,Rabi       ,Meghalaya,6916,4576,683300.8,2005.64,0.635714286
Rice,1998,Kharif     ,Meghalaya,105402,149742,10413717.6,30566.58,1.51
Sesamum,1998,Kharif     ,Meghalaya,1322,694,130613.6,383.38,0.575714286
Small millets,1998,Kharif     ,Meghalaya,2823,2282,278912.4,818.67,0.871428571
Soyabean,1998,Kharif     ,Meghalaya,899,812,88821.2,260.71,0.881428571
Sugarcane,1998,Whole Year ,Meghalaya,83,225,8200.4,24.07,2.328
Sweet potato,1998,Whole Year ,Meghalaya,5181,17291,511882.8,1502.49,3.302857143
Tapioca,1998,Whole Year ,Meghalaya,3963,21251,391544.4,1149.27,6.547142857
Tobacco,1998,Whole Year ,Meghalaya,742,507,73309.6,215.18,0.61
Turmeric,1998,Whole Year ,Meghalaya,1375,6997,135850,398.75,5.624285714
Wheat,1998,Rabi       ,Meghalaya,4287,6998,423555.6,1243.23,1.605
Arecanut,1998,Whole Year ,West Bengal,8239,13665,814013.2,2389.31,1.595294118
Arhar/Tur,1998,Kharif     ,West Bengal,2606,1672,257472.8,755.74,0.756923077
Bajra,1998,Kharif     ,West Bengal,175,84,17290,50.75,0.436666667
Barley,1998,Rabi       ,West Bengal,5938,5910,586674.4,1722.02,1.10375
Cardamom,1998,Whole Year ,West Bengal,2875,690,284050,833.75,0.24
Castor seed,1998,Rabi       ,West Bengal,54,38,5335.2,15.66,0.7
Coconut ,1998,Whole Year ,West Bengal,24616,318174400,2432060.8,7138.64,12448.06222
Cotton(lint),1998,Kharif     ,West Bengal,200,73,19760,58,0.37
Dry chillies,1998,Whole Year ,West Bengal,64354,51303,6358175.2,18662.66,0.890555556
Ginger,1998,Kharif     ,West Bengal,9398,18839,928522.4,2725.42,1.449444444
Gram,1998,Rabi       ,West Bengal,23286,18971,2300656.8,6752.94,0.875
Groundnut,1998,Whole Year ,West Bengal,30157,34994,2979511.6,8745.53,1.128571429
Horse-gram,1998,Rabi       ,West Bengal,4958,2043,489850.4,1437.82,0.422
Jowar,1998,Kharif     ,West Bengal,886,414,87536.8,256.94,0.465
Jute,1998,Kharif     ,West Bengal,612066,7373630,60472120.8,177499.14,13.24705882
Khesari,1998,Rabi       ,West Bengal,23300,20850,2302040,6757,0.774666667
Linseed,1998,Rabi       ,West Bengal,10323,2691,1019912.4,2993.67,0.24
Maize,1998,Kharif     ,West Bengal,38519,121161,3805677.2,11170.51,2.634
Masoor,1998,Rabi       ,West Bengal,51919,35600,5129597.2,15056.51,0.600588235
Mesta,1998,Kharif     ,West Bengal,9911,81030,979206.8,2874.19,8.453846154
Moong(Green Gram),1998,Kharif     ,West Bengal,822,429,81213.6,238.38,0.5075
Moong(Green Gram),1998,Rabi       ,West Bengal,2729,1598,269625.2,791.41,0.61
Moong(Green Gram),1998,Summer     ,West Bengal,9320,2980,920816,2702.8,0.312857143
Niger seed,1998,Kharif     ,West Bengal,7587,4100,749595.6,2200.23,0.4075
Other Kharif pulses,1998,Kharif     ,West Bengal,768,318,75878.4,222.72,0.516
Peas & beans (Pulses),1998,Rabi       ,West Bengal,9230,6776,911924,2676.7,0.70625
Potato,1998,Whole Year ,West Bengal,318199,6689636,31438061.2,92277.71,18.95944444
Ragi,1998,Kharif     ,West Bengal,12895,15648,1274026,3739.55,0.91
Rapeseed &Mustard,1998,Rabi       ,West Bengal,344358,251740,34022570.4,99863.82,0.667222222
Rice,1998,Autumn     ,West Bengal,425002,740688,41990197.6,123250.58,1.751111111
Rice,1998,Summer     ,West Bengal,1450473,4921984,143306732.4,420637.17,3.22
Rice,1998,Winter     ,West Bengal,4028620,7653780,398027656,1168299.8,1.781666667
Safflower,1998,Rabi       ,West Bengal,48,16,4742.4,13.92,0.4575
Sannhamp,1998,Whole Year ,West Bengal,1800,9280,177840,522,4.971428571
Sesamum,1998,Whole Year ,West Bengal,100425,85448,9921990,29123.25,0.741111111
Small millets,1998,Kharif     ,West Bengal,3742,1877,369709.6,1085.18,0.575714286
Small millets,1998,Rabi       ,West Bengal,1235,1387,122018,358.15,1.035
Soyabean,1998,Kharif     ,West Bengal,800,461,79040,232,0.481666667
Sugarcane,1998,Whole Year ,West Bengal,26949,2001900,2662561.2,7815.21,75.314375
Sunflower,1998,Kharif     ,West Bengal,149,111,14721.2,43.21,0.71
